design,strategy,topo,Vdd,corner,temp_C,Iin_A,I_at_0_A,I_at_vddhalf_A,gain_at_0,gain_vddhalf,lambda_eff_perV,rout_ohm,band_hi_V,ramp_nonlin_pct,vmax_1pct_V,vmax_0p1pct_V,area_um2,provenance
B_100n,B,MIR_S,3.2,TT,-55,1e-07,1.03887e-07,1.00227e-07,1.03887,1.00227,0.0225303,4.36858e+08,2.00,2.2585,0.4542,0.0453,3.507,"netlists/B_100n_MIR_S.cir(case=0,temp=-55,Vdd=3.2):dc_sweep_i(Vout)"
B_100n,B,MIR_S,3.2,TT,27,1e-07,1.03003e-07,1.00288e-07,1.03003,1.00288,0.016763,5.88856e+08,2.00,1.6823,0.6079,0.0606,3.507,"netlists/B_100n_MIR_S.cir(case=0,temp=27,Vdd=3.2):dc_sweep_i(Vout)"
B_100n,B,MIR_S,3.2,TT,150,1e-07,1.02441e-07,1.00357e-07,1.02441,1.00357,0.0129004,7.66437e+08,2.00,1.2972,0.7885,0.0787,3.507,"netlists/B_100n_MIR_S.cir(case=0,temp=150,Vdd=3.2):dc_sweep_i(Vout)"
B_100n,B,MIR_S,3.2,FF,-55,1e-07,1.04814e-07,1.00533e-07,1.04814,1.00533,0.0262118,3.73521e+08,2.00,2.6266,0.3916,0.0391,3.507,"netlists/B_100n_MIR_S.cir(case=1,temp=-55,Vdd=3.2):dc_sweep_i(Vout)"
B_100n,B,MIR_S,3.2,FF,27,1e-07,1.03723e-07,1.00544e-07,1.03723,1.00544,0.0195463,5.02876e+08,2.00,1.9607,0.5224,0.0521,3.507,"netlists/B_100n_MIR_S.cir(case=1,temp=27,Vdd=3.2):dc_sweep_i(Vout)"
B_100n,B,MIR_S,3.2,FF,150,1e-07,1.0303e-07,1.00586e-07,1.03030,1.00586,0.0150688,6.53796e+08,2.00,1.5142,0.6761,0.0675,3.507,"netlists/B_100n_MIR_S.cir(case=1,temp=150,Vdd=3.2):dc_sweep_i(Vout)"
B_100n,B,MIR_S,3.2,SS,-55,1e-07,1.03082e-07,9.99923e-08,1.03082,0.99992,0.0191037,5.17502e+08,2.00,1.9158,0.5342,0.0533,3.507,"netlists/B_100n_MIR_S.cir(case=2,temp=-55,Vdd=3.2):dc_sweep_i(Vout)"
B_100n,B,MIR_S,3.2,SS,27,1e-07,1.02377e-07,1.0009e-07,1.02377,1.00090,0.0141813,6.98531e+08,2.00,1.4241,0.7172,0.0716,3.507,"netlists/B_100n_MIR_S.cir(case=2,temp=27,Vdd=3.2):dc_sweep_i(Vout)"
B_100n,B,MIR_S,3.2,SS,150,1e-07,1.0193e-07,1.00176e-07,1.01930,1.00176,0.0108941,9.10338e+08,2.00,1.0965,0.9324,0.0931,3.507,"netlists/B_100n_MIR_S.cir(case=2,temp=150,Vdd=3.2):dc_sweep_i(Vout)"
B_100n,B,MIR_S,3.2,FS,-55,1e-07,1.03079e-07,9.99976e-08,1.03079,0.99998,0.0190534,5.18858e+08,2.00,1.9108,0.5356,0.0534,3.507,"netlists/B_100n_MIR_S.cir(case=3,temp=-55,Vdd=3.2):dc_sweep_i(Vout)"
B_100n,B,MIR_S,3.2,FS,27,1e-07,1.02376e-07,1.00094e-07,1.02376,1.00094,0.0141481,7.00159e+08,2.00,1.4208,0.7188,0.0717,3.507,"netlists/B_100n_MIR_S.cir(case=3,temp=27,Vdd=3.2):dc_sweep_i(Vout)"
B_100n,B,MIR_S,3.2,FS,150,1e-07,1.01929e-07,1.00179e-07,1.01929,1.00179,0.0108712,9.12239e+08,2.00,1.0942,0.9343,0.0933,3.507,"netlists/B_100n_MIR_S.cir(case=3,temp=150,Vdd=3.2):dc_sweep_i(Vout)"
B_100n,B,MIR_S,3.2,SF,-55,1e-07,1.04818e-07,1.00527e-07,1.04818,1.00527,0.0262699,3.72703e+08,2.00,2.6324,0.3908,0.0390,3.507,"netlists/B_100n_MIR_S.cir(case=4,temp=-55,Vdd=3.2):dc_sweep_i(Vout)"
B_100n,B,MIR_S,3.2,SF,27,1e-07,1.03724e-07,1.00539e-07,1.03724,1.00539,0.0195859,5.0187e+08,2.00,1.9647,0.5215,0.0520,3.507,"netlists/B_100n_MIR_S.cir(case=4,temp=27,Vdd=3.2):dc_sweep_i(Vout)"
B_100n,B,MIR_S,3.2,SF,150,1e-07,1.0303e-07,1.00582e-07,1.03030,1.00582,0.0150966,6.52607e+08,2.00,1.5170,0.6749,0.0674,3.507,"netlists/B_100n_MIR_S.cir(case=4,temp=150,Vdd=3.2):dc_sweep_i(Vout)"
B_100n,B,MIR_S,4.5,TT,-55,1e-07,1.07031e-07,1.01716e-07,1.07031,1.01716,0.0224474,4.25888e+08,2.00,2.3227,0.4163,0.0396,3.507,"netlists/B_100n_MIR_S.cir(case=0,temp=-55,Vdd=4.5):dc_sweep_i(Vout)"
B_100n,B,MIR_S,4.5,TT,27,1e-07,1.0536e-07,1.01393e-07,1.05360,1.01393,0.0168949,5.71678e+08,2.00,1.7610,0.5484,0.0510,3.507,"netlists/B_100n_MIR_S.cir(case=0,temp=27,Vdd=4.5):dc_sweep_i(Vout)"
B_100n,B,MIR_S,4.5,TT,150,1e-07,1.04263e-07,1.01206e-07,1.04263,1.01206,0.0130867,7.42945e+08,2.00,1.3723,0.7097,0.0641,3.507,"netlists/B_100n_MIR_S.cir(case=0,temp=150,Vdd=4.5):dc_sweep_i(Vout)"
B_100n,B,MIR_S,4.5,FF,-55,1e-07,1.0848e-07,1.02274e-07,1.08480,1.02274,0.0259619,3.64587e+08,2.00,2.6802,0.3613,0.0347,3.507,"netlists/B_100n_MIR_S.cir(case=1,temp=-55,Vdd=4.5):dc_sweep_i(Vout)"
B_100n,B,MIR_S,4.5,FF,27,1e-07,1.06473e-07,1.01837e-07,1.06473,1.01837,0.0196053,4.8882e+08,2.00,2.0382,0.4727,0.0444,3.507,"netlists/B_100n_MIR_S.cir(case=1,temp=27,Vdd=4.5):dc_sweep_i(Vout)"
B_100n,B,MIR_S,4.5,FF,150,1e-07,1.0516e-07,1.01582e-07,1.05160,1.01582,0.0152309,6.34289e+08,2.00,1.5932,0.6070,0.0555,3.507,"netlists/B_100n_MIR_S.cir(case=1,temp=150,Vdd=4.5):dc_sweep_i(Vout)"
B_100n,B,MIR_S,4.5,SS,-55,1e-07,1.05746e-07,1.01249e-07,1.05746,1.01249,0.0191438,5.03791e+08,2.00,1.9863,0.4869,0.0458,3.507,"netlists/B_100n_MIR_S.cir(case=2,temp=-55,Vdd=4.5):dc_sweep_i(Vout)"
B_100n,B,MIR_S,4.5,SS,27,1e-07,1.04372e-07,1.01021e-07,1.04372,1.01021,0.0143601,6.77219e+08,2.00,1.5015,0.6466,0.0591,3.507,"netlists/B_100n_MIR_S.cir(case=2,temp=27,Vdd=4.5):dc_sweep_i(Vout)"
B_100n,B,MIR_S,4.5,SS,150,1e-07,1.03469e-07,1.00891e-07,1.03469,1.00891,0.0110886,8.8176e+08,2.00,1.1663,0.8436,0.0748,3.507,"netlists/B_100n_MIR_S.cir(case=2,temp=150,Vdd=4.5):dc_sweep_i(Vout)"
B_100n,B,MIR_S,4.5,FS,-55,1e-07,1.05744e-07,1.01251e-07,1.05744,1.01251,0.0191246,5.04312e+08,2.00,1.9876,0.4854,0.0456,3.507,"netlists/B_100n_MIR_S.cir(case=3,temp=-55,Vdd=4.5):dc_sweep_i(Vout)"
B_100n,B,MIR_S,4.5,FS,27,1e-07,1.04374e-07,1.01023e-07,1.04374,1.01023,0.0143545,6.77493e+08,2.00,1.5040,0.6440,0.0587,3.507,"netlists/B_100n_MIR_S.cir(case=3,temp=27,Vdd=4.5):dc_sweep_i(Vout)"
B_100n,B,MIR_S,4.5,FS,150,1e-07,1.03472e-07,1.00893e-07,1.03472,1.00893,0.0110896,8.81677e+08,2.00,1.1692,0.8401,0.0741,3.507,"netlists/B_100n_MIR_S.cir(case=3,temp=150,Vdd=4.5):dc_sweep_i(Vout)"
B_100n,B,MIR_S,4.5,SF,-55,1e-07,1.08482e-07,1.02272e-07,1.08482,1.02272,0.0259843,3.64261e+08,2.00,2.6788,0.3624,0.0348,3.507,"netlists/B_100n_MIR_S.cir(case=4,temp=-55,Vdd=4.5):dc_sweep_i(Vout)"
B_100n,B,MIR_S,4.5,SF,27,1e-07,1.06472e-07,1.01835e-07,1.06472,1.01835,0.0196131,4.8862e+08,2.00,2.0355,0.4745,0.0447,3.507,"netlists/B_100n_MIR_S.cir(case=4,temp=27,Vdd=4.5):dc_sweep_i(Vout)"
B_100n,B,MIR_S,4.5,SF,150,1e-07,1.05156e-07,1.01579e-07,1.05156,1.01579,0.0152306,6.34304e+08,2.00,1.5896,0.6099,0.0561,3.507,"netlists/B_100n_MIR_S.cir(case=4,temp=150,Vdd=4.5):dc_sweep_i(Vout)"
B_100n,B,MIR_S,5.0,TT,-55,1e-07,1.0853e-07,1.02287e-07,1.08530,1.02287,0.0236131,4.00179e+08,2.00,2.5547,0.3517,0.0327,3.507,"netlists/B_100n_MIR_S.cir(case=0,temp=-55,Vdd=5.0):dc_sweep_i(Vout)"
B_100n,B,MIR_S,5.0,TT,27,1e-07,1.06534e-07,1.01817e-07,1.06534,1.01817,0.0180662,5.299e+08,2.00,1.9876,0.4485,0.0403,3.507,"netlists/B_100n_MIR_S.cir(case=0,temp=27,Vdd=5.0):dc_sweep_i(Vout)"
B_100n,B,MIR_S,5.0,TT,150,1e-07,1.05207e-07,1.01532e-07,1.05207,1.01532,0.0141836,6.8076e+08,2.00,1.5838,0.5668,0.0489,3.507,"netlists/B_100n_MIR_S.cir(case=0,temp=150,Vdd=5.0):dc_sweep_i(Vout)"
B_100n,B,MIR_S,5.0,FF,-55,1e-07,1.10201e-07,1.02942e-07,1.10201,1.02942,0.0271446,3.44058e+08,2.00,2.9205,0.3089,0.0291,3.507,"netlists/B_100n_MIR_S.cir(case=1,temp=-55,Vdd=5.0):dc_sweep_i(Vout)"
B_100n,B,MIR_S,5.0,FF,27,1e-07,1.0782e-07,1.02333e-07,1.07820,1.02333,0.0208297,4.55403e+08,2.00,2.2767,0.3911,0.0358,3.507,"netlists/B_100n_MIR_S.cir(case=1,temp=27,Vdd=5.0):dc_sweep_i(Vout)"
B_100n,B,MIR_S,5.0,FF,150,1e-07,1.06243e-07,1.01963e-07,1.06243,1.01963,0.0164023,5.84286e+08,2.00,1.8191,0.4892,0.0431,3.507,"netlists/B_100n_MIR_S.cir(case=1,temp=150,Vdd=5.0):dc_sweep_i(Vout)"
B_100n,B,MIR_S,5.0,SS,-55,1e-07,1.07038e-07,1.01731e-07,1.07038,1.01731,0.0202765,4.70929e+08,2.00,2.2084,0.4061,0.0372,3.507,"netlists/B_100n_MIR_S.cir(case=2,temp=-55,Vdd=5.0):dc_sweep_i(Vout)"
B_100n,B,MIR_S,5.0,SS,27,1e-07,1.05386e-07,1.01378e-07,1.05386,1.01378,0.015468,6.23977e+08,2.00,1.7150,0.5226,0.0459,3.507,"netlists/B_100n_MIR_S.cir(case=2,temp=27,Vdd=5.0):dc_sweep_i(Vout)"
